departamento,distrito_sintetico,tipo_area_sintetica,pobreza_monetaria_pct_2024_sintetica,pobreza_departamental_pct_2024_sintetica,pct_votos_validos_candidatura_x_2026_sintetico,electores_habiles_sintetico,nota
Apurimac,APU-03,rural,48.4,46.0,19.01,31205,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-04,urbano,41.2,46.0,10.25,37582,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-05,rural,59.8,46.0,14.97,259242,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-06,mixto,47.3,46.0,13.05,52319,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-07,mixto,51.0,46.0,13.63,26453,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-08,urbano,42.1,46.0,19.84,32250,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Apurimac,APU-09,urbano,44.1,46.0,12.53,103571,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-01,urbano,8.4,18.0,10.65,11128,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-02,mixto,10.5,18.0,2.0,210513,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-03,mixto,19.7,18.0,9.67,146941,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-04,mixto,14.8,18.0,4.34,188597,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-05,rural,19.2,18.0,6.0,50590,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-06,rural,24.2,18.0,14.61,14649,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-07,mixto,15.9,18.0,6.5,140693,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-08,mixto,20.6,18.0,7.41,404043,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Arequipa,ARE-09,urbano,15.9,18.0,19.21,17724,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-01,mixto,44.8,43.0,14.23,216101,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-02,urbano,43.4,43.0,16.77,92988,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-03,urbano,33.3,43.0,16.6,55005,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-04,rural,55.5,43.0,11.31,86285,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-05,mixto,44.5,43.0,8.89,67886,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-06,urbano,47.0,43.0,12.5,92243,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-07,mixto,46.6,43.0,3.47,40178,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-08,urbano,38.7,43.0,14.8,50205,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-09,urbano,37.5,43.0,13.7,99263,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ayacucho,AYA-10,rural,51.3,43.0,16.63,27534,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-01,mixto,33.7,41.0,13.16,162723,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-02,rural,52.4,41.0,13.11,27986,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-03,urbano,29.4,41.0,20.55,167299,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-04,urbano,40.3,41.0,11.62,102912,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-05,rural,47.5,41.0,12.18,49316,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-06,mixto,53.6,41.0,13.07,33066,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-07,urbano,31.3,41.0,15.49,46524,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-08,urbano,30.9,41.0,19.52,75686,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-09,rural,53.4,41.0,22.75,21861,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-10,mixto,45.5,41.0,22.35,171194,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-11,urbano,33.7,41.0,8.47,47177,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-12,rural,55.6,41.0,20.38,9623,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-13,mixto,37.8,41.0,12.03,99359,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cajamarca,CAJ-14,rural,46.4,41.0,17.25,34042,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-01,urbano,11.1,17.0,5.09,25231,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-02,urbano,17.4,17.0,9.75,43886,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-03,rural,29.0,17.0,5.47,58252,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-04,rural,24.5,17.0,14.4,63068,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-05,mixto,24.2,17.0,11.43,985,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-06,mixto,13.4,17.0,13.93,78919,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-07,rural,13.1,17.0,18.41,30023,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-08,rural,30.9,17.0,11.14,23092,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-09,mixto,12.3,17.0,21.21,65609,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-10,urbano,21.7,17.0,7.83,44341,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-11,urbano,5.0,17.0,8.94,6944,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-12,rural,16.6,17.0,17.25,29117,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-13,rural,17.8,17.0,10.64,40043,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-14,rural,23.2,17.0,10.5,96839,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-15,urbano,11.3,17.0,6.24,94818,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Callao,CAL-16,urbano,12.7,17.0,14.26,58837,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-01,mixto,28.6,33.0,5.36,2793,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-02,urbano,29.5,33.0,17.59,13625,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-03,rural,33.5,33.0,12.03,67125,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-04,rural,41.6,33.0,11.76,109409,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-05,urbano,32.2,33.0,9.78,44499,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-06,rural,34.2,33.0,10.06,11735,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-07,urbano,39.2,33.0,11.6,25415,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-08,mixto,34.3,33.0,13.62,28656,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-09,mixto,45.0,33.0,8.59,26975,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-10,urbano,23.4,33.0,7.34,73094,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Cusco,CUS-11,rural,44.0,33.0,11.11,28907,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-01,rural,60.6,47.0,25.09,15826,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-02,urbano,38.8,47.0,14.78,39944,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-03,urbano,38.9,47.0,14.8,61508,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-04,rural,56.8,47.0,16.81,17216,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-05,urbano,42.0,47.0,12.0,6536,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-06,mixto,47.2,47.0,12.75,51523,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-07,mixto,48.5,47.0,9.33,7762,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-08,urbano,35.6,47.0,12.46,15081,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-09,urbano,31.6,47.0,15.43,21705,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huancavelica,HUA-10,urbano,42.1,47.0,13.27,5096,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-01,mixto,31.9,39.0,17.81,24048,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-02,urbano,21.1,39.0,15.43,27281,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-03,mixto,33.4,39.0,11.18,40762,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-04,rural,43.5,39.0,17.19,47172,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-05,rural,54.3,39.0,15.62,56699,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-06,urbano,28.1,39.0,10.93,22144,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-07,rural,47.7,39.0,16.51,2439,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-08,urbano,30.8,39.0,13.61,47521,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-09,urbano,38.2,39.0,18.35,54417,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-10,mixto,38.8,39.0,15.37,27614,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-11,rural,36.5,39.0,18.49,56886,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-12,urbano,36.7,39.0,6.72,3549,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Huanuco,HUA-13,urbano,31.7,39.0,10.22,105652,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-01,mixto,22.2,15.0,12.32,11146,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-02,urbano,8.4,15.0,14.57,23997,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-03,urbano,17.0,15.0,6.42,16091,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-04,rural,22.6,15.0,9.5,27867,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-05,mixto,17.9,15.0,6.37,68104,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-06,rural,19.6,15.0,16.3,22478,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-07,mixto,14.1,15.0,15.34,34432,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-08,mixto,27.5,15.0,10.52,15655,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-09,rural,29.9,15.0,11.93,80455,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-10,urbano,11.6,15.0,12.15,15515,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-11,rural,12.4,15.0,6.42,53107,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-12,urbano,6.8,15.0,9.66,58116,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-13,urbano,14.4,15.0,8.84,13296,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-14,mixto,11.6,15.0,8.73,34420,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-15,urbano,17.2,15.0,10.14,1587,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Ica,ICA-16,rural,19.6,15.0,11.52,23009,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-01,mixto,34.9,31.0,15.52,128141,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-02,urbano,17.7,31.0,14.2,16265,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-03,urbano,25.2,31.0,10.11,57948,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-04,rural,24.8,31.0,19.96,342971,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-05,urbano,33.1,31.0,20.97,42940,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-06,rural,27.6,31.0,11.1,106749,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-07,urbano,24.2,31.0,12.98,35843,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-08,mixto,34.4,31.0,6.31,274346,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-09,rural,36.9,31.0,13.53,126364,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Junin,JUN-10,urbano,24.0,31.0,10.08,26811,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -01,mixto,33.1,28.0,14.75,52155,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -02,rural,25.8,28.0,17.55,268854,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -03,rural,30.8,28.0,16.67,105865,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -04,rural,23.1,28.0,12.85,187842,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -05,mixto,25.9,28.0,13.76,49964,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -06,mixto,38.2,28.0,11.36,59347,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -07,rural,30.3,28.0,10.54,49148,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -08,urbano,26.4,28.0,9.49,34999,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -09,urbano,23.7,28.0,3.9,49924,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -10,rural,33.9,28.0,15.9,90889,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -11,urbano,27.5,28.0,12.36,11702,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -12,rural,36.8,28.0,16.05,126347,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -13,urbano,16.0,28.0,11.51,61218,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -14,urbano,25.1,28.0,6.49,23390,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -15,urbano,24.6,28.0,7.11,29022,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
La Libertad,LA -16,urbano,22.5,28.0,11.82,1470,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-01,rural,20.7,24.0,11.85,11877,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-02,urbano,23.1,24.0,11.27,13252,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-03,urbano,23.5,24.0,9.17,11770,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-04,urbano,15.6,24.0,17.68,71376,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-05,urbano,26.4,24.0,9.59,7569,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-06,urbano,16.7,24.0,10.94,9910,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-07,urbano,24.2,24.0,9.5,5919,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-08,rural,32.3,24.0,18.88,28068,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-09,urbano,10.4,24.0,10.43,8227,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lambayeque,LAM-10,urbano,20.6,24.0,17.13,17930,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-01,rural,19.6,19.0,13.82,1192811,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-02,mixto,26.7,19.0,20.56,1248215,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-03,mixto,19.3,19.0,13.96,1153545,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-04,rural,26.1,19.0,19.55,651099,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-05,urbano,20.8,19.0,10.64,165227,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-06,mixto,21.5,19.0,8.02,875898,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-07,urbano,19.0,19.0,11.0,332537,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-08,urbano,12.1,19.0,2.0,404720,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-09,rural,29.3,19.0,13.67,479286,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-10,rural,31.2,19.0,11.13,541794,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Lima,LIM-11,mixto,19.5,19.0,15.84,154867,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-01,urbano,29.7,36.0,18.08,11899,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-02,mixto,42.4,36.0,18.45,42784,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-03,rural,55.0,36.0,12.13,285158,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-04,mixto,35.8,36.0,21.19,14244,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-05,urbano,21.3,36.0,9.33,221197,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-06,urbano,36.3,36.0,16.49,56714,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-07,urbano,34.5,36.0,16.14,184743,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-08,urbano,37.7,36.0,3.91,133611,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-09,rural,36.8,36.0,19.63,49235,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Loreto,LOR-10,mixto,32.6,36.0,14.97,100191,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-01,urbano,12.0,14.0,11.74,12176,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-02,urbano,21.1,14.0,11.66,38779,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-03,urbano,15.3,14.0,7.32,33625,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-04,mixto,17.9,14.0,10.36,34140,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-05,mixto,13.9,14.0,2.5,40688,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-06,urbano,5.0,14.0,11.66,69899,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-07,urbano,6.1,14.0,9.18,26991,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-08,urbano,5.0,14.0,2.76,33407,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-09,rural,9.3,14.0,8.24,12418,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Moquegua,MOQ-10,urbano,5.0,14.0,12.84,25090,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-01,rural,37.7,35.0,6.08,7328,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-02,urbano,27.5,35.0,15.27,38614,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-03,urbano,37.5,35.0,8.42,96976,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-04,mixto,42.9,35.0,10.12,68071,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-05,rural,40.9,35.0,8.72,15377,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-06,mixto,23.3,35.0,8.6,42169,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-07,rural,40.3,35.0,16.15,53040,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-08,urbano,29.8,35.0,18.02,1356,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-09,urbano,31.0,35.0,10.25,126634,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-10,urbano,32.2,35.0,9.42,20443,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-11,rural,45.9,35.0,16.92,7201,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-12,urbano,42.2,35.0,22.95,365886,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-13,rural,43.2,35.0,25.99,12188,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-14,mixto,30.0,35.0,14.18,34768,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-15,mixto,33.5,35.0,12.36,19558,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-16,rural,45.6,35.0,13.78,126972,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Pasco,PAS-17,urbano,24.4,35.0,13.04,36136,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Piura,PIU-01,urbano,15.0,30.0,12.33,22338,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Piura,PIU-02,rural,40.1,30.0,9.08,39503,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
Piura,PIU-03,rural,46.3,30.0,16.04,39135,"Sintetico; sirve para discutir falacia ecologica, no preferencias individuales."
